"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"0:01:59.1635857","crytolocker.exe","2076","Process Start","","SUCCESS","Parent PID: 1996, Command line: ""C:\test\crytolocker.exe"" , Current directory: C:\test\, Environment: 
;	=::=::\
;	ALLUSERSPROFILE=C:\ProgramData
;	APPDATA=C:\Users\rabbit\AppData\Roaming
;	CommonProgramFiles=C:\Program Files\Common Files
;	CommonProgramFiles(x86)=C:\Program Files (x86)\Common Files
;	CommonProgramW6432=C:\Program Files\Common Files
;	COMPUTERNAME=RABBIT-PC
;	ComSpec=C:\Windows\system32\cmd.exe
;	FP_NO_HOST_CHECK=NO
;	HOMEDRIVE=C:
;	HOMEPATH=\Users\rabbit
;	LOCALAPPDATA=C:\Users\rabbit\AppData\Local
;	LOGONSERVER=\\RABBIT-PC
;	NUMBER_OF_PROCESSORS=2
;	OS=Windows_NT
;	Path=C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\
;	PATHEXT=.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
;	PROCESSOR_ARCHITECTURE=AMD64
;	PROCESSOR_IDENTIFIER=Intel64 Family 6 Model 23 Stepping 7, GenuineIntel
;	PROCESSOR_LEVEL=6
;	PROCESSOR_REVISION=1707
;	ProgramData=C:\ProgramData
;	ProgramFiles=C:\Program Files
;	ProgramFiles(x86)=C:\Program Files (x86)
;	ProgramW6432=C:\Program Files
;	PSModulePath=C:\Windows\system32\WindowsPowerShell\v1.0\Modules\
;	PUBLIC=C:\Users\Public
;	SESSIONNAME=Console
;	SystemDrive=C:
;	SystemRoot=C:\Windows
;	TEMP=C:\Users\rabbit\AppData\Local\Temp
;	TMP=C:\Users\rabbit\AppData\Local\Temp
;	USERDOMAIN=rabbit-PC
;	USERNAME=rabbit
;	USERPROFILE=C:\Users\rabbit
;	windir=C:\Windows"
"0:01:59.1636012","crytolocker.exe","2076","Thread Create","","SUCCESS","Thread ID: 2220"
"0:01:59.2083172","crytolocker.exe","2076","Load Image","C:\test\crytolocker.exe","SUCCESS","Image Base: 0x400000, Image Size: 0x10a000"
"0:01:59.2243156","crytolocker.exe","2076","Load Image","C:\Windows\System32\ntdll.dll","SUCCESS","Image Base: 0x77620000, Image Size: 0x1ab000"
"0:01:59.2256023","crytolocker.exe","2076","Load Image","C:\Windows\SysWOW64\ntdll.dll","SUCCESS","Image Base: 0x77800000, Image Size: 0x180000"
"0:01:59.2260551","crytolocker.exe","2076","CreateFile","C:\Windows\Prefetch\CRYTOLOCKER.EXE-0389C188.pf","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: None, AllocationSize: n/a"
"0:01:59.2312665","crytolocker.exe","2076","CreateFile","C:\Windows","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"0:01:59.2351821","crytolocker.exe","2076","CreateFile","C:\Windows\System32\wow64.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"0:01:59.2351821","crytolocker.exe","2076","QueryBasicInformationFile","C:\Windows\System32\wow64.dll","SUCCESS","CreationTime: 2009/07/14 7:26:35, LastAccessTime: 2009/07/14 7:26:35, LastWriteTime: 2009/07/14 9:41:57, ChangeTime: 2013/11/20 22:55:52, FileAttributes: A"
"0:01:59.2351821","crytolocker.exe","2076","CloseFile","C:\Windows\System32\wow64.dll","SUCCESS",""
"0:01:59.2352710","crytolocker.exe","2076","CreateFile","C:\Windows\System32\wow64.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"0:01:59.2354509","crytolocker.exe","2076","CreateFileMapping","C:\Windows\System32\wow64.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"0:01:59.2356157","crytolocker.exe","2076","CreateFileMapping","C:\Windows\System32\wow64.dll","SUCCESS","SyncType: SyncTypeOther"
"0:01:59.2360392","crytolocker.exe","2076","Load Image","C:\Windows\System32\wow64.dll","SUCCESS","Image Base: 0x74a20000, Image Size: 0x3f000"
"0:01:59.2360652","crytolocker.exe","2076","CloseFile","C:\Windows\System32\wow64.dll","SUCCESS",""
"0:01:59.2374716","crytolocker.exe","2076","CreateFile","C:\Windows\System32\wow64win.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"0:01:59.2376436","crytolocker.exe","2076","QueryBasicInformationFile","C:\Windows\System32\wow64win.dll","SUCCESS","CreationTime: 2009/07/14 7:38:45, LastAccessTime: 2009/07/14 7:38:45, LastWriteTime: 2009/07/14 9:41:57, ChangeTime: 2013/11/20 22:55:52, FileAttributes: A"
"0:01:59.2376909","crytolocker.exe","2076","CloseFile","C:\Windows\System32\wow64win.dll","SUCCESS",""
"0:01:59.2378698","crytolocker.exe","2076","CreateFile","C:\Windows\System32\wow64win.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"0:01:59.2380071","crytolocker.exe","2076","CreateFileMapping","C:\Windows\System32\wow64win.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"0:01:59.2381928","crytolocker.exe","2076","CreateFileMapping","C:\Windows\System32\wow64win.dll","SUCCESS","SyncType: SyncTypeOther"
"0:01:59.2385593","crytolocker.exe","2076","Load Image","C:\Windows\System32\wow64win.dll","SUCCESS","Image Base: 0x749c0000, Image Size: 0x5c000"
"0:01:59.2385929","crytolocker.exe","2076","CloseFile","C:\Windows\System32\wow64win.dll","SUCCESS",""
"0:01:59.2391595","crytolocker.exe","2076","CreateFile","C:\Windows\System32\wow64cpu.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"0:01:59.2393268","crytolocker.exe","2076","QueryBasicInformationFile","C:\Windows\System32\wow64cpu.dll","SUCCESS","CreationTime: 2009/07/14 7:26:26, LastAccessTime: 2009/07/14 7:26:26, LastWriteTime: 2009/07/14 9:41:57, ChangeTime: 2013/11/20 22:55:52, FileAttributes: A"
"0:01:59.2393517","crytolocker.exe","2076","CloseFile","C:\Windows\System32\wow64cpu.dll","SUCCESS",""
"0:01:59.2395522","crytolocker.exe","2076","CreateFile","C:\Windows\System32\wow64cpu.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"0:01:59.2397369","crytolocker.exe","2076","CreateFileMapping","C:\Windows\System32\wow64cpu.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"0:01:59.2398587","crytolocker.exe","2076","CreateFileMapping","C:\Windows\System32\wow64cpu.dll","SUCCESS","SyncType: SyncTypeOther"
"0:01:59.2401669","crytolocker.exe","2076","Load Image","C:\Windows\System32\wow64cpu.dll","SUCCESS","Image Base: 0x74a90000, Image Size: 0x8000"
"0:01:59.2402529","crytolocker.exe","2076","CloseFile","C:\Windows\System32\wow64cpu.dll","SUCCESS",""
"0:01:59.2415028","crytolocker.exe","2076","RegOpenKey","HKLM\SOFTWARE\Microsoft\WOW64","NAME NOT FOUND","Desired Access: Query Value"
"0:01:59.2421236","crytolocker.exe","2076","CreateFile","C:\Windows\System32\wow64log.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"0:01:59.2424991","crytolocker.exe","2076","ReadFile","C:\Windows\System32\wow64.dll","SUCCESS","Offset: 193,536, Length: 28,672, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"0:01:59.2485329","crytolocker.exe","2076","Load Image","C:\Windows\System32\kernel32.dll","SUCCESS","Image Base: 0x77500000, Image Size: 0x11f000"
"0:01:59.2495793","crytolocker.exe","2076","Load Image","C:\Windows\SysWOW64\kernel32.dll","SUCCESS","Image Base: 0x75850000, Image Size: 0x100000"
"0:01:59.2501626","crytolocker.exe","2076","Load Image","C:\Windows\System32\kernel32.dll","SUCCESS","Image Base: 0x77500000, Image Size: 0x11f000"
"0:01:59.2504820","crytolocker.exe","2076","Load Image","C:\Windows\System32\user32.dll","SUCCESS","Image Base: 0x77400000, Image Size: 0xfa000"
"0:01:59.2516553","crytolocker.exe","2076","CreateFile","C:\Windows","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"0:01:59.2517370","crytolocker.exe","2076","QueryNameInformationFile","C:\Windows","SUCCESS","Name: \Windows"
"0:01:59.2517789","crytolocker.exe","2076","CloseFile","C:\Windows","SUCCESS",""
"0:01:59.2562585","crytolocker.exe","2076","CreateFile","C:\test","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"0:01:59.2566466","crytolocker.exe","2076","ReadFile","C:\test\crytolocker.exe","SUCCESS","Offset: 695,296, Length: 512, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"0:01:59.2676649","crytolocker.exe","2076","Load Image","C:\Windows\SysWOW64\kernel32.dll","SUCCESS","Image Base: 0x75850000, Image Size: 0x100000"
"0:01:59.2698091","crytolocker.exe","2076","Load Image","C:\Windows\SysWOW64\KernelBase.dll","SUCCESS","Image Base: 0x75af0000, Image Size: 0x46000"
"0:01:59.2770596","crytolocker.exe","2076","ReadFile","C:\Windows\System32\wow64.dll","SUCCESS","Offset: 235,520, Length: 4,096, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"0:01:59.2776721","crytolocker.exe","2076","RegOpenKey","HKLM\System\CurrentControlSet\Control\Terminal Server","REPARSE","Desired Access: Read"
"0:01:59.2777209","crytolocker.exe","2076","RegOpenKey","HKLM\System\CurrentControlSet\Control\Terminal Server","SUCCESS","Desired Access: Read"
"0:01:59.2778000","crytolocker.exe","2076","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\Terminal Server","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"0:01:59.2778239","crytolocker.exe","2076","RegQueryValue","HKLM\System\CurrentControlSet\Control\Terminal Server\TSAppCompat","NAME NOT FOUND","Length: 548"
"0:01:59.2778712","crytolocker.exe","2076","RegQueryValue","HKLM\System\CurrentControlSet\Control\Terminal Server\TSUserEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"0:01:59.2779117","crytolocker.exe","2076","RegCloseKey","HKLM\System\CurrentControlSet\Control\Terminal Server","SUCCESS",""
"0:01:59.2780212","crytolocker.exe","2076","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","REPARSE","Desired Access: Query Value, Set Value"
"0:01:59.2780472","crytolocker.exe","2076","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","NAME NOT FOUND","Desired Access: Query Value, Set Value"
"0:01:59.2781047","crytolocker.exe","2076","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","REPARSE","Desired Access: Read"
"0:01:59.2781332","crytolocker.exe","2076","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","NAME NOT FOUND","Desired Access: Read"
"0:01:59.2781823","crytolocker.exe","2076","RegOpenKey","HKLM\Software\Wow6432Node\Policies\Microsoft\Windows\Safer\CodeIdentifiers","REPARSE","Desired Access: Query Value"
"0:01:59.2782575","crytolocker.exe","2076","RegOpenKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\Safer\CodeIdentifiers","SUCCESS","Desired Access: Query Value"
"0:01:59.2782991","crytolocker.exe","2076","RegSetInfoKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"0:01:59.2783204","crytolocker.exe","2076","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers\TransparentEnabled","NAME NOT FOUND","Length: 80"
"0:01:59.2783435","crytolocker.exe","2076","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers","SUCCESS",""
"0:01:59.2784620","crytolocker.exe","2076","RegOpenKey","HKCU\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","NAME NOT FOUND","Desired Access: Query Value"
"0:01:59.2787233","crytolocker.exe","2076","ReadFile","C:\test\crytolocker.exe","SUCCESS","Offset: 685,568, Length: 9,728, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"0:01:59.2800162","crytolocker.exe","2076","Load Image","C:\Windows\SysWOW64\user32.dll","SUCCESS","Image Base: 0x770a0000, Image Size: 0x100000"
"0:01:59.2805994","crytolocker.exe","2076","Load Image","C:\Windows\SysWOW64\gdi32.dll","SUCCESS","Image Base: 0x76c20000, Image Size: 0x90000"
